Neighb ID,Name,MH_PC_Tot,MH_PC_F,MH_PC_M,Census_Pop,Med_Indiv_Income,Avg_Ind_Income,Unemploy_rate,Num_Households,Income_U5000,Income_5000to9999,Income_10000to14999,Income_15000to19999,Income_20000to29999,Income_30000to39999,Income_40000to49999,Income_50000to59999,Income_60000to79999,Income_80000to99999,Income_100000to124999,Income_125000to149999,Income_150000Plus,W_Rel,W_Non_Rel,Alone,  Age0to14,  Age15to24 ,  Age25to34 ,  Age35to44 ,  Age45to54 ,  Age55to64 ,  Age65to79,  Age80to99,  Non_immigrants,  Immigrants
17,Bridle Path-Sunnybrook-York Mills,467.1,230.5,736.5,8713,62428,213134,5.8,3005,60,0,30,45,85,50,45,115,235,145,190,150,1770,115,200,550,1415,1365,575,900,1570,1365,1075,445,5935,2580
18,Broadview North,891.4,1090.4,657.6,11563,27307,37582,10.9,5610,230,140,235,430,725,650,570,545,520,435,405,280,430,285,670,2350,1585,1135,1945,2100,1825,1420,1135,415,6050,5250
19,Brookhaven-Amesbury,573.5,510.5,647.9,17787,22967,29605,9.7,6395,155,95,185,370,760,855,965,595,840,630,410,125,330,735,680,1415,3555,2455,2615,2435,2770,1765,1520,670,7470,9645
20,Cabbagetown-South St. James Town,852.5,820.2,877,12053,38333,58741,7.4,6630,265,215,330,440,575,540,515,415,820,590,590,280,1040,245,1185,3435,875,1085,2240,2010,2290,1725,1365,460,7095,4035
21,Caledonia-Fairbank,520.1,439.7,606.1,9851,25403,30736,9.8,3520,85,115,65,125,420,315,400,405,440,465,255,185,245,395,360,710,1595,1295,1545,1400,1630,1135,910,320,4050,5585
22,Casa Loma,623.2,501.5,766.4,10487,43543,104884,6,5325,120,85,105,225,535,475,295,285,565,425,525,295,1415,150,735,2360,1165,1065,1890,1365,1420,1585,1400,590,7135,2915
23,Centennial Scarborough,386.2,375.4,397.1,13093,37643,49491,7.8,4270,20,25,20,90,170,185,185,235,575,535,535,450,1215,345,225,445,2145,1920,1240,1640,2280,1940,1630,300,8100,4880
24,Church-Yonge Corridor,1047.2,844.8,1207.2,28349,33736,46104,8.4,18230,1430,630,1270,1130,1725,1590,1795,1500,2235,1480,1145,715,1560,865,3990,11005,1100,4470,8800,4700,3935,2735,2025,560,15740,9960
25,Clairlea-Birchmount,575.5,604.8,542.9,24770,25563,34237,9.7,8755,330,125,300,355,760,870,830,830,1225,965,860,525,725,955,910,1915,4245,3150,3560,3740,4145,2770,2040,1100,11865,11980
26,Clanton Park,430.1,331.7,553.3,14612,29390,45742,7.5,5545,155,100,120,300,580,375,600,430,820,440,395,270,950,455,825,1560,2575,1720,2005,2305,2275,1625,1335,775,7325,6540
27,Cliffcrest,486,402.6,577.9,15703,28707,41386,9.1,5820,135,105,200,330,575,440,455,285,870,660,600,305,865,415,415,1440,2650,2115,1490,2080,2820,2140,1660,760,9920,5450
28,Corso Italia-Davenport,489.7,239.4,754.7,13743,25810,35411,10,5100,195,50,110,235,530,640,415,205,640,645,505,360,495,455,870,1160,1960,1795,2340,2035,2190,1500,1345,565,6600,6610
29,Danforth,704.2,377.6,1054.1,9444,30425,44460,6.5,3905,105,85,140,245,375,265,200,205,535,380,370,315,645,230,530,1260,1535,1015,1425,1555,1445,1110,1000,355,6270,2965
30,Danforth-East York,299.2,233.2,373.3,16712,32454,43619,7,6950,215,90,85,330,615,830,410,320,885,860,660,660,945,445,690,2045,2605,1545,2450,2945,2670,2125,1680,705,10830,5720
31,Don Valley Village,478.5,416.9,550.1,26739,23992,33959,11.1,9745,395,185,285,475,1030,975,960,715,1360,965,920,490,910,860,1265,1930,4160,3375,3730,4495,3955,2905,2975,1145,8120,17620
32,Dorset Park,528.2,440.7,629,24363,23335,29198,11.4,8525,215,145,270,430,880,1125,1045,755,1335,1020,545,400,350,975,745,1960,4485,3010,3450,3535,3930,2715,2140,1085,9075,14600
33,Dovercourt-Wallace Emerson-Junction,816.4,548,1091,34631,24680,34337,7.9,13945,455,280,510,930,1370,1370,1320,1010,1875,1655,1150,835,1155,1150,3605,3985,4450,4350,7260,5725,5100,3520,3180,1060,17515,15980
34,Downsview-Roding-CFB,544.1,428.1,670.9,34659,23638,29635,10,13225,425,320,510,705,1660,1645,1730,1190,1840,1165,785,580,650,1330,1645,3590,6035,4240,5155,4965,5350,3660,3750,1490,14495,19095
35,Dufferin Grove,570.4,435.7,705.4,11449,24702,33973,6.9,5110,200,190,215,245,550,625,575,315,805,490,295,180,435,365,1465,1795,1300,1260,2810,1950,1565,1170,1060,330,6170,4980
